"","gene_id","gene_name","logFC","logCPM","LR","PValue","FDR"
"1","ENSMUSG00000050550","Gm11868",-6.75149218375025,1.04091058443911,102.820296717573,3.66970501274128e-24,5.38198937168636e-20
"2","ENSMUSG00000105703","Gm43305",-10.3145812392642,0.435181368645436,84.1446119902228,4.59875559643398e-20,3.37226747886504e-16
"3","ENSMUSG00000001119","Col6a1",10.0851707356734,1.34842712165058,23.6444888678988,1.15877290911974e-06,0.00212432043564377
"4","ENSMUSG00000026043","Col3a1",5.07479520461243,4.4988147902675,24.1066481772776,9.11450838262811e-07,0.00212432043564377
"5","ENSMUSG00000027014","Cwc22",2.62931568210051,8.10586650479194,23.7320640155298,1.10722415773695e-06,0.00212432043564377
"6","ENSMUSG00000032348","Gsta4",-1.94238936555852,4.52202289360189,25.4934649838529,4.43883879205642e-07,0.00212432043564377
"7","ENSMUSG00000037958","Nsrp1",0.848779175067801,6.11955230218527,24.9481204639301,5.88939174191853e-07,0.00212432043564377
"8","ENSMUSG00000079641","Rpl39",-0.647295969717033,7.2663349590067,23.8667098070631,1.03241787062568e-06,0.00212432043564377
"9","ENSMUSG00000057657","Rps18-ps3",2.17515514982284,1.56097555705443,22.813355169901,1.78520840709676e-06,0.00290909627760901
"10","ENSMUSG00000098973","Mir6236",1.63190201757529,5.64951707964289,22.3802627678065,2.2366074115816e-06,0.00328020842982558
"11","ENSMUSG00000037625","Cldn11",8.6469963729567,-0.111025200740319,21.2953668194443,3.93681862413755e-06,0.00524885290378194
"12","ENSMUSG00000067870","Rpl31-ps8",1.42103071347909,2.79170367213302,19.4185861474214,1.04980411116186e-05,0.0128303559119165
"13","ENSMUSG00000110631","Gm42047",0.9996700308856,9.14394906736366,18.5793489010713,1.62976543530349e-05,0.0183862614416623
"14","ENSMUSG00000064354","mt-Co2",-1.34206386935426,2.77982186564825,17.3453033894531,3.11667541883171e-05,0.029523861670731
"15","ENSMUSG00000086841","2410006H16Rik",0.617345884238144,6.06098445591495,17.1675990868414,3.42223952272212e-05,0.029523861670731
"16","ENSMUSG00000087143","A830082K12Rik",0.673334831540103,6.3428938161979,17.4265184895747,2.98630498821724e-05,0.029523861670731
"17","ENSMUSG00000106106","CT010467.1",1.0849321375874,9.26410244652296,17.2320156665816,3.30814196085157e-05,0.029523861670731
"18","ENSMUSG00000027881","Prpf38b",0.561864539015375,7.92527947436031,16.7073491854675,4.36117258684763e-05,0.0355338650881707
"19","ENSMUSG00000083902","Gm15975",-2.34670406542998,0.482552980220243,16.5189114930668,4.81672504935678e-05,0.0371800471441403
"20","ENSMUSG00000061808","Ttr",5.75134898766938,5.21368558912429,16.4029176817752,5.1206348122897e-05,0.0375496150785204
"21","ENSMUSG00000007836","Hnrnpa0",-0.466012641549689,8.81676936148845,15.5616263706648,7.98590339766122e-05,0.0509222866217824
"22","ENSMUSG00000062456","Rpl9-ps6",1.4631138464081,2.44256583677801,15.5708216334383,7.94715797392776e-05,0.0509222866217824
"23","ENSMUSG00000107176","Gm9794",1.18500692717642,3.19186500497937,15.5771687100412,7.9205241261309e-05,0.0509222866217824
"24","ENSMUSG00000019929","Dcn",1.43123531983584,3.08776112708295,15.0625434651136,0.000104006764054381,0.0544772572007695
"25","ENSMUSG00000032221","Mns1",1.1342499465468,5.21553953451458,15.0759123094097,0.00010327272680653,0.0544772572007695
"26","ENSMUSG00000077704","Snord89",4.16191653008119,-0.67679170309715,15.2171876981041,9.58272663443997e-05,0.0544772572007695
"27","ENSMUSG00000091900","Gm4353",4.23592131092709,1.59382503897241,15.3335330491211,9.01028521827765e-05,0.0544772572007695
"28","ENSMUSG00000097971","Gm26917",0.83557090156164,5.30317695335542,15.1844935160698,9.75007893091199e-05,0.0544772572007695
"29","ENSMUSG00000024500","Ppp2r2b",-0.481430291000855,6.95857005793629,14.8946085477641,0.0001136874397096,0.0574944824407242
"30","ENSMUSG00000069919","Hba-a1",0.883455763108978,5.71906468564618,14.8118535145268,0.000118786515314753,0.0580707677868724
"31","ENSMUSG00000081051","Gm15427",1.18039734185627,3.77979005969741,14.5560489949792,0.000136051163184287,0.0643653664277661
"32","ENSMUSG00000046179","E2f8",0.532732503033977,6.24589166093547,14.3141179612022,0.000154700298163955,0.0709010804022678
"33","ENSMUSG00000048126","Col6a3",4.87078708297842,1.49663346255361,14.0880163590617,0.000174451699494231,0.0719637538439133
"34","ENSMUSG00000050708","Ftl1",-0.521628960385271,7.62191105277532,14.0645030426271,0.000176646334268436,0.0719637538439133
"35","ENSMUSG00000069662","Marcks",-0.571679853682878,9.76867558708677,14.0848666857337,0.000174744076403437,0.0719637538439133
"36","ENSMUSG00000096842","Gm10736",-0.685921767676913,4.58409936309766,14.0901371451658,0.000174255109438082,0.0719637538439133
"37","ENSMUSG00000032456","Nmnat3",2.06129218996116,0.684687135926414,13.9063966789227,0.000192143430547624,0.0761615014165259
"38","ENSMUSG00000049775","Tmsb4x",-0.463099365084965,9.42807480406281,13.7777526766893,0.0002057584273315,0.0794119235590467
"39","ENSMUSG00000029422","Rsrc2",0.538784829772939,8.203098461041,13.7238203819907,0.000211751714951888,0.0796295038842151
"40","ENSMUSG00000024650","Slc22a6",7.89082724371256,-0.779269238070576,13.6436938953251,0.000220982255481491,0.0810231439722888
"41","ENSMUSG00000013584","Aldh1a2",7.80528791704288,-0.676373872485936,13.3513479276532,0.00025823694557567,0.0923732449710433
"42","ENSMUSG00000076258","Gm23935",1.46869676835894,5.68496882277116,13.2932719902883,0.000266360226697646,0.0930104543987543
"43","ENSMUSG00000062209","Erbb4",0.679987739073055,4.60741397759984,13.0854254286179,0.000297602236867106,0.0991962364975678
"44","ENSMUSG00000064358","mt-Co3",-2.32582169664331,2.86360718055587,13.0927583492382,0.000296439524248672,0.0991962364975678
"45","ENSMUSG00000108528","Gm8319",1.62117067413616,1.6700572897092,13.0410238855115,0.000304741447253361,0.099318623675951
"46","ENSMUSG00000028389","Zfp37",0.59150061489733,5.53859897732718,12.8401985618935,0.000339251611254497,0.10586093895018
"47","ENSMUSG00000081344","Gm14303",1.06503629448791,3.12848574314231,12.8560675740455,0.00033638674312729,0.10586093895018
"48","ENSMUSG00000021721","Htr1a",-1.79355606179483,0.855648581506291,12.7610356219385,0.000353914891724136,0.106015679588948
"49","ENSMUSG00000058076","Sdhc",-0.471595804586672,6.25231411059576,12.7595037952566,0.000354204847937983,0.106015679588948
"50","ENSMUSG00000038393","Txnip",0.926959099407611,5.49620222737928,12.6229605328788,0.000381037376489751,0.107467195453821
"51","ENSMUSG00000052305","Hbb-bs",1.16879951509281,6.32791246290192,12.685971733857,0.000368409083791304,0.107467195453821
"52","ENSMUSG00000097703","Gm26623",-3.23988761474592,-0.205128269462853,12.6508899064003,0.000375386949594938,0.107467195453821
"53","ENSMUSG00000098087","Gm17750",-1.06469540582317,3.24149920475347,12.5719605984435,0.000391577561452378,0.108356160684162
"54","ENSMUSG00000006589","Aprt",-0.568461607191703,5.24754788202111,12.3722326443695,0.000435766205974956,0.118350873644976
"55","ENSMUSG00000017491","Rarb",3.361468114369,-0.624086538957622,12.2029514154209,0.000477139688105535,0.118605604504335
"56","ENSMUSG00000020052","Ascl1",0.557964944362873,5.85620416918892,12.2503761623207,0.000465164376082667,0.118605604504335
"57","ENSMUSG00000036523","Greb1",2.26016536816962,0.248749403435585,12.2461224658699,0.000466225988778376,0.118605604504335
"58","ENSMUSG00000091337","Eid1",-0.580861017400953,6.87237639068914,12.2258713975183,0.000471313759681985,0.118605604504335
"59","ENSMUSG00000094344","Gm11942",-1.67781706821485,2.39364728427161,12.3305023851299,0.00044561646286945,0.118605604504335
"60","ENSMUSG00000030108","Slc6a13",8.56650079501592,-0.0297930375037752,12.0384061671505,0.000521155140568648,0.124565031518472
"61","ENSMUSG00000032580","Rbm5",0.409492478875725,8.47643614879123,12.0190537661769,0.000526594296614297,0.124565031518472
"62","ENSMUSG00000048758","Rpl29",1.15671642743517,7.97651534463015,12.0392740124355,0.000520912558248511,0.124565031518472
"63","ENSMUSG00000027524","Edn3",4.80086388552799,-0.692887435001237,11.6763079452902,0.000633010239988791,0.142955787162952
"64","ENSMUSG00000029661","Col1a2",3.41498100767683,3.85335121174048,11.6700986087205,0.000635126439286909,0.142955787162952
"65","ENSMUSG00000039883","Lrrc17",7.70781685263559,-0.754873898839526,11.7028134753531,0.000624056687173814,0.142955787162952
"66","ENSMUSG00000046341","Gm11223",0.743137884696368,4.14261271880842,11.6462228724227,0.000643330284518945,0.142955787162952
"67","ENSMUSG00000070883","Ccdc173",0.893472243078524,3.63052765492879,11.5149716880424,0.000690378829924469,0.151120834621974
"68","ENSMUSG00000042606","Hirip3",0.473691207472332,7.43221168528912,11.1816385194309,0.000826107862456537,0.178172028099817
"69","ENSMUSG00000010608","Rbm25",0.451558387870954,8.80676527062209,11.139555543404,0.0008450613696457,0.179302164372258
"70","ENSMUSG00000071793","2610005L07Rik",0.564509419158794,4.84750125601338,11.1161353126413,0.000855799229923499,0.179302164372258
"71","ENSMUSG00000042133","Ppig",0.47297646845725,7.74894257358523,11.0661439977083,0.000879183282791447,0.181607070780554
"72","ENSMUSG00000084314","Rps15a-ps3",-1.9695875097343,0.131368089300104,11.0388356001179,0.000892228839687368,0.18174205781743
"73","ENSMUSG00000065037","Rn7sk",2.47658153363173,2.34132187133726,10.9925416417913,0.000914792723800346,0.183785617633642
"74","ENSMUSG00000029755","Dlx5",0.901126579480924,3.52801719377571,10.9378256969072,0.000942206760230336,0.186735193858623
"75","ENSMUSG00000035173","Ccdc186",0.462540035436307,6.22562653943936,10.8874256297296,0.000968193026541841,0.188162653299702
"76","ENSMUSG00000040204","Pclaf",0.453409738081274,6.94038520733598,10.8743185757148,0.000975068979324786,0.188162653299702
"77","ENSMUSG00000025085","Ablim1",-0.596398780589094,4.88726482082863,10.8485791697228,0.000988715900235977,0.188318277829362
"78","ENSMUSG00000073647","Gm10557",0.763239816896919,4.12632832827566,10.7857091573875,0.00102286709785187,0.189890745026526
"79","ENSMUSG00000078193","Gm2000",0.995018661221335,2.82359243274868,10.8069808907237,0.00101118070415728,0.189890745026526
"80","ENSMUSG00000020680","Taf15",0.473120875736232,7.98500537373022,10.710867113925,0.00106508101481648,0.192849449151797
"81","ENSMUSG00000021270","Hsp90aa1",0.370582954903671,10.3708751836571,10.7108283561898,0.00106510332614861,0.192849449151797
"82","ENSMUSG00000076437","Selenoh",-0.47579466114776,6.23940691053212,10.5472557055808,0.00116360725810785,0.208115415212314
"83","ENSMUSG00000050299","Gm9843",1.22440008821621,2.95421326579074,10.485027193514,0.00120345846668583,0.212649661113427
"84","ENSMUSG00000004771","Rab11a",-0.543408607938881,6.05129860569143,10.3653281571035,0.00128404072942324,0.21897373648513
"85","ENSMUSG00000028028","Alpk1",0.704512626965861,4.99007647456975,10.387878335913,0.0012684529413569,0.21897373648513
"86","ENSMUSG00000079184","Mphosph8",0.486059600150405,6.72084101578995,10.3839450189168,0.00127115798777517,0.21897373648513
"87","ENSMUSG00000081214","Rpl35a-ps2",1.91632263886211,0.848752429435136,10.3203603735017,0.00131570595839875,0.221794753860645
"88","ENSMUSG00000111942","Gm5182",-1.25555378625494,2.61157178885721,10.2533385982218,0.00136437453718144,0.227385420026171
"89","ENSMUSG00000038065","Mturn",-0.417555773451401,6.90059954054318,10.2153556911575,0.0013927613045233,0.228246943192059
"90","ENSMUSG00000058806","Col13a1",5.01762047810262,-0.480286533075088,10.2049131201067,0.00140066990912896,0.228246943192059
"91","ENSMUSG00000026890","Lhx6",0.641877087943105,5.25592950679199,10.1710088587295,0.00142666189535621,0.228835922761701
"92","ENSMUSG00000101249","Gm29216",1.14298991132943,4.10128666099041,10.159634745955,0.001435490583259,0.228835922761701
