"","gene_id","gene_name","logFC","logCPM","LR","PValue","FDR"
"1","ENSMUSG00000027014","Cwc22",3.08510792096268,7.86452164472293,177.551233314075,1.65998923036142e-40,2.33029288158136e-36
"2","ENSMUSG00000074280","Gm6166",-5.02930960439083,4.30472354945807,126.083423273347,2.94825360450187e-29,2.06937920499986e-25
"3","ENSMUSG00000098557","Kctd12",-1.88014030204722,5.48771328136605,88.976045679515,3.99622331594339e-21,1.86996609697378e-17
"4","ENSMUSG00000098973","Mir6236",1.76960649439327,5.69054399309394,84.8194610314946,3.26890989551234e-20,1.14722392783005e-16
"5","ENSMUSG00000031246","Sh3bgrl",-1.22837769635885,8.02853800709466,72.4544932991382,1.70928322002601e-17,4.79898356854502e-14
"6","ENSMUSG00000075014","Gm10800",-9.20524871371015,-0.417526195809944,71.4132440487788,2.89720907546121e-17,6.77850350022075e-14
"7","ENSMUSG00000033186","Mzt1",-1.26172367930244,6.25608246229858,70.3773573241064,4.89788859585754e-17,8.72257304389861e-14
"8","ENSMUSG00000050550","Gm11868",-5.05110931641207,1.65361138677206,70.348193464549,4.97083518672096e-17,8.72257304389861e-14
"9","ENSMUSG00000069919","Hba-a1",1.43798660983852,6.55656723325579,68.6360473060951,1.18419592402401e-16,1.84708248682768e-13
"10","ENSMUSG00000105814","Mir703",-5.17632754199655,1.6088774820315,68.3640982552609,1.35929940760344e-16,1.90818450839371e-13
"11","ENSMUSG00000086429","Gt(ROSA)26Sor",-2.53860531602266,2.88541306249614,67.110051123618,2.56765976019304e-16,3.27680070123544e-13
"12","ENSMUSG00000100826","Snhg14",-1.39235857905399,6.09313988946933,62.0073661706781,3.42174939380237e-15,4.00287649918314e-12
"13","ENSMUSG00000110631","Gm42047",1.10732795335646,7.64235838138821,55.3678094567245,9.99600908732481e-14,1.07941519667589e-10
"14","ENSMUSG00000091900","Gm4353",3.9950148210396,1.2961851413685,53.1034833599044,3.16430810593287e-13,3.1728969422204e-10
"15","ENSMUSG00000000948","Gm38393",-1.78072327703937,4.01919816573669,50.1011657889812,1.46020216293058e-12,1.3665545308813e-09
"16","ENSMUSG00000069662","Marcks",-1.20212504865663,9.29187067477765,49.7913599638773,1.70995301817132e-12,1.50027002931807e-09
"17","ENSMUSG00000102496","Gm36989",-3.28538552922281,0.834010478871603,49.5617338262101,1.92226719344235e-12,1.58734040362022e-09
"18","ENSMUSG00000018199","Trove2",-0.973272892340933,7.08033820959564,48.5485250292485,3.22216570881207e-12,2.51293123446132e-09
"19","ENSMUSG00000092341","Malat1",-1.46933249637239,7.81939714836639,47.6072539672368,5.20754331801903e-12,3.84755226833427e-09
"20","ENSMUSG00000055373","Fut9",-1.25279046027658,5.51742895302342,47.0828670784826,6.8047926695235e-12,4.77628397473854e-09
"21","ENSMUSG00000106099","Gm42664",-1.74772557738803,4.33795669075571,45.0679647898819,1.90313341857407e-11,1.27219937761633e-08
"22","ENSMUSG00000040167","Ikzf5",-3.01084457248029,1.38669480910864,43.6579246881638,3.91090249582728e-11,2.49551132892834e-08
"23","ENSMUSG00000091337","Eid1",-0.919277829252693,7.90828669786463,42.1219363657329,8.57558072178908e-11,5.23408705097718e-08
"24","ENSMUSG00000096006","Gm21596",-2.57010583332622,1.61274124155636,40.6230046690717,1.84620270278907e-10,1.07987473090637e-07
"25","ENSMUSG00000035236","Scai",-0.941439877236892,6.35135476156619,39.357218398109,3.52945699619129e-10,1.98186069250133e-07
"26","ENSMUSG00000091509","Gm17066",-2.27541779371186,2.38230531236211,39.1990282960472,3.82730663464819e-10,2.06645117450736e-07
"27","ENSMUSG00000032328","Tmem30a",-0.969332483344331,7.11882593901861,38.2033770728076,6.37420084850684e-10,3.31411227819774e-07
"28","ENSMUSG00000051412","Vamp7",-1.15382129530692,5.03310483775399,37.814772281654,7.77904831094193e-10,3.90008143532153e-07
"29","ENSMUSG00000064356","mt-Atp8",-4.11866924233518,0.114817738728338,37.2609441210577,1.03333460534357e-09,4.99255432304081e-07
"30","ENSMUSG00000076137","Gm26384",-4.50097036752864,0.317663264626084,37.1985385393964,1.06693709710232e-09,4.99255432304081e-07
"31","ENSMUSG00000073131","Vma21",-1.03228114240388,5.50085528905294,36.769790679729,1.32934255755483e-09,6.01977768482411e-07
"32","ENSMUSG00000019817","Plagl1",-0.86978714401826,6.51588819277497,35.7490185569959,2.24445009556845e-09,9.84612201299685e-07
"33","ENSMUSG00000033184","Tmed7",-0.926596666220606,6.64677137590377,35.5973525705973,2.42617047188536e-09,1.03207821467657e-06
"34","ENSMUSG00000078578","Ube2d3",-0.886745125004661,7.93456727342201,35.3773980063101,2.71620664773842e-09,1.1214737917927e-06
"35","ENSMUSG00000084911","Gm16185",-1.95773596306143,2.69055890721147,35.2089031660194,2.96166465169443e-09,1.18788138229961e-06
"36","ENSMUSG00000114797","Gm49336",-0.92097157343799,6.06616123710972,33.5523644516584,6.93709947680909e-09,2.70508340154017e-06
"37","ENSMUSG00000031197","Vbp1",-0.981570066804122,6.44571493356872,33.0388087447128,9.03375374397014e-09,3.42745500156359e-06
"38","ENSMUSG00000056145","AI504432",-0.873892571249567,5.5143520951713,32.6353520470854,1.11174112143605e-08,4.10700575334719e-06
