"","gene_id","gene_name","logFC","logCPM","LR","PValue","FDR"
"1","ENSMUSG00000051243","Islr2",-1.03510890845301,9.7113375353936,148.455895410972,3.77116501276791e-34,5.36674492967002e-30
"2","ENSMUSG00000042453","Reln",-0.932751724962636,8.87074371990324,144.516747134998,2.73913353715792e-33,1.94903046836472e-29
"3","ENSMUSG00000019966","Kitl",-1.1695537399181,5.89934334731619,139.652079308838,3.17173292411589e-32,1.50456437476977e-28
"4","ENSMUSG00000061718","Ppp1r1b",-1.61474106439123,4.548279313835,134.728156026676,3.78614955724612e-31,1.34701735872924e-27
"5","ENSMUSG00000020607","Fam84a",-1.42384664536409,5.87798524963232,132.39591780583,1.22567118933692e-30,3.48850533909075e-27
"6","ENSMUSG00000049001","Ndnf",-2.58529344374082,2.83447495274323,119.835231897136,6.87395041639897e-28,1.63038647292956e-24
"7","ENSMUSG00000027849","Syt6",-1.44115756798747,5.21133254390013,112.229682153541,3.18224273395933e-26,6.46949947813932e-23
"8","ENSMUSG00000021068","Nin",-0.882400931980856,7.03565918122541,109.378491824303,1.3407651661383e-25,2.38505363491426e-22
"9","ENSMUSG00000030500","Slc17a6",-1.2018326539717,6.04367393161174,101.905200240927,5.8243422077873e-24,9.20957932878011e-21
"10","ENSMUSG00000058297","Spock2",-1.22762841564526,5.92478440158253,95.6512454980628,1.37013470181777e-22,1.94983869415687e-19
"11","ENSMUSG00000039114","Nrn1",-1.20928588845393,5.05599489853225,95.3991269385235,1.55622294652706e-22,2.01332806836606e-19
"12","ENSMUSG00000001985","Grik3",-1.01004518079253,7.42554534728956,91.9218142153062,9.01695511981667e-22,1.06933573591759e-18
"13","ENSMUSG00000048540","Nhlh2",-0.925081115919834,6.14368553927905,90.5082850990965,1.84203950954999e-21,1.87243316145756e-18
"14","ENSMUSG00000070570","Slc17a7",-1.02485736699593,6.52214663446797,90.6303547007518,1.73183026373772e-21,1.87243316145756e-18
"15","ENSMUSG00000024524","Gnal",-1.04070919927859,5.81550693844591,86.054214984628,1.75069592179357e-20,1.66094357753629e-17
"16","ENSMUSG00000030209","Grin2b",-0.945172894144095,7.03728549071661,83.046064793518,8.01633639593522e-20,7.13003020315963e-17
"17","ENSMUSG00000030077","Chl1",-0.976108314988697,8.63825477809477,74.8566876967239,5.06153166718796e-18,4.23709747975011e-15
