"","Sample","Genotype","Cells","Age","Litter","sex.by.rna","Aligned","Xist_counts"
"1","Kdm6b_01minus_het_S13","Het","VZ_cells","E14.5","Litter_1","F",54145281,57383
"2","Kdm6b_02minus_het_S14","Het","VZ_cells","E14.5","Litter_1","F",12623095,17414
"3","Kdm6b_02plus_het_S2","Het","non_VZ_cells","E14.5","Litter_1","F",46952481,61723
"4","Kdm6b_04minus_het_S15","Het","VZ_cells","E14.5","Litter_1","F",29876985,27964
"5","Kdm6b_04plus_het_S3","Het","non_VZ_cells","E14.5","Litter_1","F",67991780,67672
"6","Kdm6b_07minus_mut_S21","Mut","VZ_cells","E14.5","Litter_1","F",44603658,56607
"7","Kdm6b_07plus_mut_S9","Mut","non_VZ_cells","E14.5","Litter_1","F",61732991,114876
"8","Kdm6b_08minus_mut_S22","Mut","VZ_cells","E14.5","Litter_1","M",41311160,26
"9","Kdm6b_08plus_mut_S10","Mut","non_VZ_cells","E14.5","Litter_1","M",19481989,4
"10","Kdm6b_09minus_wt_S17","WT","VZ_cells","E14.5","Litter_1","F",46390530,43144
"11","Kdm6b_09plus_wt_S5","WT","non_VZ_cells","E14.5","Litter_1","F",62835861,124815
"12","Kdm6b_10minus_het_S16","Het","non_VZ_cells","E14.5","Litter_2","F",48716273,37763
"13","Kdm6b_10plus_het_S4","Het","VZ_cells","E14.5","Litter_2","F",26705117,36077
"14","Kdm6b_14minus_mut_S23","Mut","non_VZ_cells","E14.5","Litter_2","F",55226340,65704
"15","Kdm6b_14plus_mut_S11","Mut","VZ_cells","E14.5","Litter_2","F",43339391,75447
"16","Kdm6b_15minus_mut_S24","Mut","non_VZ_cells","E14.5","Litter_2","F",31920285,33781
"17","Kdm6b_15plus_mut_S12","Mut","VZ_cells","E14.5","Litter_2","F",37509430,56238
"18","Kdm6b_18plus_wt_S6","WT","VZ_cells","E14.5","Litter_2","M",22763139,4
"19","Kdm6b_19minus_wt_S19","WT","non_VZ_cells","E14.5","Litter_2","F",48778754,48421
"20","Kdm6b_19plus_wt_S7","WT","VZ_cells","E14.5","Litter_2","F",20844359,38897
"21","Kdm6b_24minus_wt_S20","WT","non_VZ_cells","E14.5","Litter_2","M",51868867,13
"22","Kdm6b_24plus_wt_S8","WT","VZ_cells","E14.5","Litter_2","M",30635438,12
