Sample,Fastq_file,Number of reads
Kdm6b_01minus_het_S13,Kdm6b_01minus_het_S13_L001_R1_001.fastq.gz,20046157
Kdm6b_01minus_het_S13,Kdm6b_01minus_het_S13_L001_R2_001.fastq.gz,20046157
Kdm6b_01minus_het_S13,Kdm6b_01minus_het_S13_L002_R1_001.fastq.gz,19587722
Kdm6b_01minus_het_S13,Kdm6b_01minus_het_S13_L002_R2_001.fastq.gz,19587722
Kdm6b_01plus_het_S1,Kdm6b_01plus_het_S1_L001_R1_001.fastq.gz,58
Kdm6b_01plus_het_S1,Kdm6b_01plus_het_S1_L001_R2_001.fastq.gz,58
Kdm6b_01plus_het_S1,Kdm6b_01plus_het_S1_L002_R1_001.fastq.gz,46
Kdm6b_01plus_het_S1,Kdm6b_01plus_het_S1_L002_R2_001.fastq.gz,46
Kdm6b_02minus_het_S14,Kdm6b_02minus_het_S14_L001_R1_001.fastq.gz,5560500
Kdm6b_02minus_het_S14,Kdm6b_02minus_het_S14_L001_R2_001.fastq.gz,5560500
Kdm6b_02minus_het_S14,Kdm6b_02minus_het_S14_L002_R1_001.fastq.gz,5447796
Kdm6b_02minus_het_S14,Kdm6b_02minus_het_S14_L002_R2_001.fastq.gz,5447796
Kdm6b_02plus_het_S2,Kdm6b_02plus_het_S2_L001_R1_001.fastq.gz,17511622
Kdm6b_02plus_het_S2,Kdm6b_02plus_het_S2_L001_R2_001.fastq.gz,17511622
Kdm6b_02plus_het_S2,Kdm6b_02plus_het_S2_L002_R1_001.fastq.gz,17136739
Kdm6b_02plus_het_S2,Kdm6b_02plus_het_S2_L002_R2_001.fastq.gz,17136739
Kdm6b_04minus_het_S15,Kdm6b_04minus_het_S15_L001_R1_001.fastq.gz,11000970
Kdm6b_04minus_het_S15,Kdm6b_04minus_het_S15_L001_R2_001.fastq.gz,11000970
Kdm6b_04minus_het_S15,Kdm6b_04minus_het_S15_L002_R1_001.fastq.gz,10748944
Kdm6b_04minus_het_S15,Kdm6b_04minus_het_S15_L002_R2_001.fastq.gz,10748944
Kdm6b_04plus_het_S3,Kdm6b_04plus_het_S3_L001_R1_001.fastq.gz,25191718
Kdm6b_04plus_het_S3,Kdm6b_04plus_het_S3_L001_R2_001.fastq.gz,25191718
Kdm6b_04plus_het_S3,Kdm6b_04plus_het_S3_L002_R1_001.fastq.gz,24631588
Kdm6b_04plus_het_S3,Kdm6b_04plus_het_S3_L002_R2_001.fastq.gz,24631588
Kdm6b_07minus_mut_S21,Kdm6b_07minus_mut_S21_L001_R1_001.fastq.gz,15305392
Kdm6b_07minus_mut_S21,Kdm6b_07minus_mut_S21_L001_R2_001.fastq.gz,15305392
Kdm6b_07minus_mut_S21,Kdm6b_07minus_mut_S21_L002_R1_001.fastq.gz,15036362
Kdm6b_07minus_mut_S21,Kdm6b_07minus_mut_S21_L002_R2_001.fastq.gz,15036362
Kdm6b_07plus_mut_S9,Kdm6b_07plus_mut_S9_L001_R1_001.fastq.gz,23360477
Kdm6b_07plus_mut_S9,Kdm6b_07plus_mut_S9_L001_R2_001.fastq.gz,23360477
Kdm6b_07plus_mut_S9,Kdm6b_07plus_mut_S9_L002_R1_001.fastq.gz,22889181
Kdm6b_07plus_mut_S9,Kdm6b_07plus_mut_S9_L002_R2_001.fastq.gz,22889181
Kdm6b_08minus_mut_S22,Kdm6b_08minus_mut_S22_L001_R1_001.fastq.gz,14796750
Kdm6b_08minus_mut_S22,Kdm6b_08minus_mut_S22_L001_R2_001.fastq.gz,14796750
Kdm6b_08minus_mut_S22,Kdm6b_08minus_mut_S22_L002_R1_001.fastq.gz,14513709
Kdm6b_08minus_mut_S22,Kdm6b_08minus_mut_S22_L002_R2_001.fastq.gz,14513709
Kdm6b_08plus_mut_S10,Kdm6b_08plus_mut_S10_L001_R1_001.fastq.gz,8157183
Kdm6b_08plus_mut_S10,Kdm6b_08plus_mut_S10_L001_R2_001.fastq.gz,8157183
Kdm6b_08plus_mut_S10,Kdm6b_08plus_mut_S10_L002_R1_001.fastq.gz,7956632
Kdm6b_08plus_mut_S10,Kdm6b_08plus_mut_S10_L002_R2_001.fastq.gz,7956632
Kdm6b_09minus_wt_S17,Kdm6b_09minus_wt_S17_L001_R1_001.fastq.gz,15636458
Kdm6b_09minus_wt_S17,Kdm6b_09minus_wt_S17_L001_R2_001.fastq.gz,15636458
Kdm6b_09minus_wt_S17,Kdm6b_09minus_wt_S17_L002_R1_001.fastq.gz,15295349
Kdm6b_09minus_wt_S17,Kdm6b_09minus_wt_S17_L002_R2_001.fastq.gz,15295349
Kdm6b_09plus_wt_S5,Kdm6b_09plus_wt_S5_L001_R1_001.fastq.gz,29704522
Kdm6b_09plus_wt_S5,Kdm6b_09plus_wt_S5_L001_R2_001.fastq.gz,29704522
Kdm6b_09plus_wt_S5,Kdm6b_09plus_wt_S5_L002_R1_001.fastq.gz,29227280
Kdm6b_09plus_wt_S5,Kdm6b_09plus_wt_S5_L002_R2_001.fastq.gz,29227280
Kdm6b_10minus_het_S16,Kdm6b_10minus_het_S16_L001_R1_001.fastq.gz,18488648
Kdm6b_10minus_het_S16,Kdm6b_10minus_het_S16_L001_R2_001.fastq.gz,18488648
Kdm6b_10minus_het_S16,Kdm6b_10minus_het_S16_L002_R1_001.fastq.gz,18011857
Kdm6b_10minus_het_S16,Kdm6b_10minus_het_S16_L002_R2_001.fastq.gz,18011857
Kdm6b_10plus_het_S4,Kdm6b_10plus_het_S4_L001_R1_001.fastq.gz,11128475
Kdm6b_10plus_het_S4,Kdm6b_10plus_het_S4_L001_R2_001.fastq.gz,11128475
Kdm6b_10plus_het_S4,Kdm6b_10plus_het_S4_L002_R1_001.fastq.gz,10931685
Kdm6b_10plus_het_S4,Kdm6b_10plus_het_S4_L002_R2_001.fastq.gz,10931685
Kdm6b_14minus_mut_S23,Kdm6b_14minus_mut_S23_L001_R1_001.fastq.gz,19048645
